,wallet,exchange
0,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase
1,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase
2,0x77696bb39917c91a0c3908d577d5e322095425ca,Coinbase
3,0x503828976d22510aad0201ac7ec88293211d23da,Coinbase
4,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase
5,0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase
6,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase
7,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase
8,0xd688aea8f7d450909ade10c47faa95707b0682d9,Coinbase
9,0x02466e547bfdab679fc49e96bbfc62b9747d997c,Coinbase
10,0x6b76f8b1e9e59913bfe758821887311ba1805cab,Coinbase
11,0xf6874c88757721a02f47592140905c4336dfbc61,Coinbase
12,0x881d4032abe4188e2237efcd27ab435e81fc6bb1,Coinbase
13,0xd2276af80582cac230edc4c42e9a9c096f3c09aa,Coinbase
14,0xa090e606e30bd747d4e6245a1517ebe430f0057e,Coinbase
15,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance
16,0x85b931a32a0725be14285b66f1a22178c672d69b,Binance
17,0x708396f17127c42383e3b9014072679b2f60b82f,Binance
18,0xe0f0cfde7ee664943906f17f7f14342e76a5cec7,Binance
19,0x8f22f2063d253846b53609231ed80fa571bc0c8f,Binance
20,0x28c6c06298d514db089934071355e5743bf21d60,Binance
21,0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance
22,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance
23,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance
24,0x9696f59e4d72e237be84ffd425dcad154bf96976,Binance
25,0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Binance
26,0xd551234ae421e3bcba99a0da6d736074f22192ff,Binance
27,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,Binance
28,0xd88b55467f58af508dbfdc597e8ebd2ad2de49b3,Binance
29,0x7dfe9a368b6cf0c0309b763bb8d16da326e8f46e,Binance
30,0x345d8e3a1f62ee6b1d483890976fd66168e390f2,Binance
31,0xc3c8e0a39769e2308869f7461364ca48155d1d9e,Binance
32,0x2e581a5ae722207aa59acd3939771e7c7052dd3d,Binance
33,0x44592b81c05b4c35efb8424eb9d62538b949ebbf,Binance
34,0xa344c7ada83113b3b56941f6e85bf2eb425949f3,Binance
35,0x5a52e96bacdabb82fd05763e25335261b270efcb,Binance
36,0x06a0048079ec6571cd1b537418869cde6191d42d,Binance
37,0x564286362092d8e7936f0549571a803b203aaced,Binance
38,0x892e9e24aea3f27f4c6e9360e312cce93cc98ebe,Binance
39,0x00799bbc833d5b168f0410312d2a8fd9e0e3079c,Binance
40,0x141fef8cd8397a390afe94846c8bd6f4ab981c48,Binance
41,0x50d669f43b484166680ecc3670e4766cdb0945ce,Binance
42,0x2f7e209e0f5f645c7612d7610193fe268f118b28,Binance
43,0xd9d93951896b4ef97d251334ef2a0e39f6f6d7d7,Binance
44,0x8f80c66c70cbc52009babb04c1cadf9b40109289,Binance
45,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,Binance
46,0xfe9e8709d3215310075d67e3ed32a380ccf451c8,Binance
47,0x4e9ce36e442e55ecd9025b9a6e0d88485d628a67,Binance
48,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance
49,0xf977814e90da44bfa03b6295a0616a897441acec,Binance
50,0x001866ae5b3de6caa5a51543fd9fb64f524f5478,Binance
51,0x8b99f3660622e21f2910ecca7fbe51d654a1517d,Binance
52,0xab83d182f3485cf1d6ccdd34c7cfef95b4c08da4,Binance
53,0xc365c3315cf926351ccaf13fa7d19c8c4058c8e1,Binance
54,0x61189da79177950a7272c88c6058b96d4bcd6be2,Binance
55,0x4fabb145d64652a948d72533023f6e7a623c7c53,Binance
